generation	robot_id
72	3680
72	3654
72	3582
72	3607
72	3668
72	3437
72	3634
72	3223
72	2757
72	3637
72	3174
72	3334
72	3670
72	3601
72	3116
72	3493
72	3661
72	3596
72	3621
72	3693
72	3613
72	3449
72	3111
72	3436
72	3639
72	3679
72	3040
72	3635
72	3409
72	3595
72	3590
72	3581
72	3633
72	3684
72	3653
72	3507
72	3700
72	3606
72	3487
72	3431
72	3071
72	3392
72	3293
72	3333
72	3262
72	3674
72	3655
72	2942
72	3578
72	3138
72	2754
72	3445
72	3196
72	3677
72	2923
72	3414
72	3399
72	2804
72	3688
72	3587
72	3396
72	3419
72	3616
72	3669
72	3259
72	3631
72	3673
72	2919
72	2872
72	2992
72	3699
72	3557
72	3659
72	3519
72	3671
72	3683
72	3630
72	3658
72	3696
72	3524
72	3464
72	3218
72	3643
72	3698
72	3432
72	3555
72	3461
72	3484
72	3660
72	3112
72	3686
72	2794
72	3628
72	2896
72	3672
72	3636
72	3254
72	2626
72	3452
72	3172
50	2544
50	2598
50	2351
50	2515
50	2482
50	2401
50	2579
50	2584
50	2552
50	2576
50	2425
50	2559
50	2116
50	2592
50	2566
50	2379
50	2210
50	2530
50	2490
50	2107
50	1696
50	2459
50	2502
50	2264
50	2581
50	1365
50	2500
50	2596
50	2261
50	2225
50	2026
50	2458
50	2527
50	2231
50	2455
50	2238
50	2424
50	2416
50	1078
50	2488
50	2512
50	2594
50	2570
50	2419
50	2428
50	2499
50	1831
50	2160
50	2534
50	2517
50	2491
50	2518
50	2462
50	2393
50	2453
50	1797
50	2386
50	2582
50	2556
50	2206
50	2477
50	2170
50	2470
50	2580
50	2557
50	2349
50	2561
50	1775
50	2474
50	2236
50	2260
50	2564
50	1650
50	1832
50	2510
50	2529
50	2522
50	2553
50	2599
50	2435
50	1925
50	2541
50	2528
50	2565
50	2542
50	2089
50	2200
50	2586
50	2388
50	2573
50	2030
50	2354
50	2545
50	2590
50	2441
50	2265
50	2525
50	2360
50	2273
50	2380
74	3634
74	3769
74	3798
74	3590
74	3613
74	3756
74	3718
74	3437
74	3672
74	3223
74	2757
74	3334
74	3741
74	3766
74	3757
74	3708
74	3707
74	3116
74	3659
74	3799
74	3716
74	3743
74	3773
74	3702
74	3709
74	3696
74	3686
74	3787
74	3449
74	3653
74	3111
74	3436
74	3040
74	3409
74	3621
74	3581
74	3701
74	3763
74	3698
74	3507
74	3768
74	3683
74	3792
74	3788
74	3431
74	3071
74	3392
74	3680
74	3333
74	3262
74	3673
74	3796
74	3738
74	3706
74	3684
74	3771
74	2942
74	3770
74	3138
74	2754
74	3677
74	3793
74	3674
74	3555
74	2923
74	3776
74	3414
74	3399
74	3784
74	3396
74	3737
74	3725
74	3786
74	2872
74	3778
74	2992
74	3519
74	3679
74	3693
