robot_id	displacement_velocity_hill	head_balance	contacts	displacement_velocity	branching	branching_modules_count	limbs	extremities	length_of_limbs	extensiveness	coverage	joints	hinge_count	active_hinges_count	brick_count	touch_sensor_count	brick_sensor_count	proportion	width	height	absolute_size	sensors	symmetry	avg_period	dev_period	avg_phase_offset	dev_phase_offset	avg_amplitude	dev_amplitude	avg_intra_dev_params	avg_inter_dev_params	sensors_reach	recurrence	synaptic_reception	fitness
188	-0.010609800379441935	0.5732884061442792	0.0	0.011017057448240301	0	0	0.07692307692307693	1	1.0	17	0.31666666666666665	0.8235294117647058	15	14	3	0	0	0.4166666666666667	5	12	19	0.0	0.25	0.6712956383451708	0.9469587917706704	0.8059083867293835	0.9145924006209797	0.4940960249580004	0.9201997641808545	0.868583402106375	0.9286475808387769	0	0	0.0	-0.0010609800379441936
4653	0.041911205867527605	0.9623765010607093	0.0	0.045397464652886084	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.125	0.0	0.041911205867527605
3509	0.005153843917465467	0.9635513174812728	0.0	0.02851495969161974	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8767873976504672	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8979793515484373	1.0	0.125	0.0	0.005153843917465467
2469	-5.115932564209551e-05	0.9664570054679694	0.0	0.002165603313550249	0	0	0.1111111111111111	1	1.0	11	1.0	1.0	12	11	0	0	0	0.07692307692307693	13	1	13	0.0	0	1.0	0.9577403529696454	0.7223030759018529	0.7483539048979221	0.7224851036884393	0.8140337626904783	0.776759966337907	0.8694015417740479	0	0	0.0	-5.115932564209551e-06
2246	0.028632332120584303	0.7197183951261108	0.0	0.0314477797137841	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	0	0	0.058823529411764705	17	1	17	0.0	0	0.596955489661354	0.7071574097850859	0.41542780053295536	0.6904570373403263	0.5400252337459618	0.7957697566101689	0.6912999471951368	0.7339283161328023	0	0	0.0	0.028632332120584303
1496	-0.0011345728358882297	0.7200898138418905	0.0	0.0051714558509161	0	0	0.07692307692307693	1	1.0	17	1.0	1.0	18	17	0	0	0	0.05263157894736842	19	1	19	0.0	0	0.596955489661354	0.7941701655368535	0.41542780053295536	0.7267295483196965	0.5476525330661451	0.7845469361040373	0.6912999471951368	0.769750199608902	0	0	0.0	-0.00011345728358882297
703	0.025073124531714067	0.6849157221880775	0.0	0.027195611468984623	0	0	0.0625	1	1.0	22	1.0	1.0	23	22	0	0	0	0.041666666666666664	1	24	24	0.0	0	0.8253210624690741	0.8911865673032149	0.6140695412381836	0.9301409410309269	0.4940960249580004	0.9157176091876802	0.7904324911791664	0.9136551056680212	0	0	0.0	0.025073124531714067
3240	0.04314600269485991	0.9625228926198122	0.0	0.045317047386004304	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04314600269485991
3874	-0.008393634019313995	0.6308220804622457	0.0	0.008510490794149802	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8595451244274033	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932801554119276	1.0	0.0625	0.0	-0.0008393634019313995
5030	0.04301596416863625	0.9624251764360587	0.0	0.04678724085212375	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04301596416863625
2748	0.026452020110967846	0.9628239616440647	0.0	0.028018464611859403	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	1	0	0.05555555555555555	1	18	18	0.3333333333333333	0	0.4963170109726329	0.9435717355604568	0.6615046550765503	0.8527685682851868	0.24885831250668092	0.8564928953851937	0.9123199206286835	0.8928206440815493	1.0	0.058823529411764705	0.0	0.026452020110967846
1500	0.033531013560053405	0.7402864399448226	0.0	0.03368863171855438	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.033531013560053405
3850	0.04156073569087681	0.9624214736475806	0.0	0.04528301397405629	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.04156073569087681
1218	-0.0003327855999205946	0.9027797106509	0.0	0.001384846227211617	0	0	0.1	1	1.0	12	0.5833333333333334	0.75	10	9	3	0	0	0.6666666666666666	6	4	14	0.0	0	0.319173930311884	0.8290513453309524	0.6655464622847587	0.7333203622399687	0.5112247115157529	0.9024821140386151	0.7760625946227343	0.8327423469015014	0	0	0.0	-3.327855999205946e-05
3957	0.041911205867527605	0.9623765010607093	0.0	0.045397464652886084	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.041911205867527605
2949	0.016763729983553355	0.9099620726687896	0.0	0.018193934221604695	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9378721937171628	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.89195020311258	1.0	0.0625	0.0	0.016763729983553355
3846	0.013707201966388865	0.9601249032532833	0.0	0.034943375936449854	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	1	0	0.05555555555555555	1	18	18	0.3333333333333333	0	0.4963170109726329	0.9354047853384055	0.6615046550765503	0.8574253125276146	0.24885831250668092	0.8573318000992428	0.9123199206286835	0.8896073691481042	1.0	0.11764705882352941	0.0	0.013707201966388865
3355	0.03884342901113784	0.9616864190190438	0.0	0.04221504145368803	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6618942020053258	0.8594197896266832	0.26977588681800413	0.8531626359560963	0.9123199206286835	0.8917145174539887	1.0	0.3125	0.0	0.03884342901113784
3467	0.04063847060103768	0.9631386624240575	0.0	0.04353829422550583	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.125	0.0	0.04063847060103768
