robot_id	displacement_velocity_hill	head_balance	contacts	displacement_velocity	branching	branching_modules_count	limbs	extremities	length_of_limbs	extensiveness	coverage	joints	hinge_count	active_hinges_count	brick_count	touch_sensor_count	brick_sensor_count	proportion	width	height	absolute_size	sensors	symmetry	avg_period	dev_period	avg_phase_offset	dev_phase_offset	avg_amplitude	dev_amplitude	avg_intra_dev_params	avg_inter_dev_params	sensors_reach	recurrence	synaptic_reception	fitness
1403	0.015542174336993664	0.924294777827485	0.0	0.026786257537145777	0	0	0.05	1	1.0	28	1.0	0.9642857142857143	28	27	1	1	0	0.03333333333333333	30	1	30	0.2	0	0.4795184634475003	0.8733596117264629	0.676856589412051	0.9306562497333656	0.8684800892867883	0.8160557369062509	0.910580999709704	0.8814137469458111	1.0	0	0.0	0.015542174336993664
4317	0.03463341692714492	0.9308652483952289	9.5	0.03579483445362943	0	0	0.05	1	1.0	28	1.0	0.9285714285714286	27	26	2	1	0	0.03333333333333333	30	1	30	0.14285714285714285	0	0.4885919435539816	0.8722573821749526	0.6502622248509303	0.9299593371814214	0.8684800892867883	0.8425410947257328	0.9037676259522415	0.8871008076607708	1.0	0.037037037037037035	0.0	0.03463341692714492
118	0.00043640636234573	0.9735058086281005	0.0	0.0007700760821545641	0	0	0.3333333333333333	2	0.6666666666666666	4	0.6666666666666666	0.5	4	3	3	3	0	0.3333333333333333	2	6	8	0.3333333333333333	0	0.5811263519395904	0.9090407633160943	0.46378933011733264	0.7956930485578528	0.5204551017200959	0.768926695319047	0.7646768950735627	0.8349710807312104	0.5	0.5	0.0	0.00043640636234573
2999	0.027529805585044018	0.9231975046966159	5.0	0.030684955986210037	0	0	0.05	1	1.0	28	1.0	0.9642857142857143	28	27	1	1	0	0.03333333333333333	30	1	30	0.2	0	0.4795184634475003	0.8733596117264629	0.676856589412051	0.9306562497333656	0.8684800892867883	0.8160557369062509	0.910580999709704	0.8814137469458111	1.0	0.03571428571428571	0.0	0.027529805585044018
131	-0.001265477982699915	0.9791472512194174	0.0	0.0012735410150081017	0	0	0.3333333333333333	2	0.7142857142857143	5	0.36	0.7142857142857143	7	5	1	0	0	1.0	5	5	9	0.0	0	0.7841479561931752	0.937819875476672	0.7169193644475547	0.8964283427085099	0.566483953514958	0.7885276182769019	0.7150330757377664	0.8872129382892384	0	0	0.0	-0.0001265477982699915
3935	0.03518173345207751	0.932738283036374	6.3	0.046736122949925595	0	0	0.05	1	1.0	28	1.0	0.9285714285714286	27	26	2	1	0	0.03333333333333333	30	1	30	0.14285714285714285	0	0.4885919435539816	0.8722573821749526	0.6502622248509303	0.9299593371814214	0.8684800892867883	0.8181152185407129	0.8876873753707851	0.8811732022312379	1.0	0.037037037037037035	0.0	0.03518173345207751
1838	-0.0011055075760873887	0.724300554383225	0.0	0.004155553499512187	0	0	0.0625	1	1.0	22	1.0	0.9545454545454546	22	21	1	1	0	0.041666666666666664	24	1	24	0.2	0	0.4295101186681586	0.8617566372009016	0.7412811966827192	0.9197157427620599	0.8684800892867883	0.7851258305113223	0.9300640126870366	0.8646834444709216	1.0	0.045454545454545456	0.0	-0.00011055075760873886
171	-2.1972924139733305e-10	0.9999994476981395	0.0	2.2038874078338098e-09	0	0	1.0	1	0	0	1.0	0	1	0	0	1	0	0.5	2	1	2	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	-2.1972924139733305e-11
4089	0.03518173345207751	0.932738283036374	6.0	0.046736122949925595	0	0	0.05	1	1.0	28	1.0	0.9285714285714286	27	26	2	1	0	0.03333333333333333	30	1	30	0.14285714285714285	0	0.4885919435539816	0.8722573821749526	0.6502622248509303	0.9299593371814214	0.8684800892867883	0.8181152185407129	0.8876873753707851	0.8811732022312379	1.0	0.037037037037037035	0.0	0.03518173345207751
434	-5.263775279457304e-08	0.9999992527772615	0.0	7.067639458328776e-08	0	0	0.6666666666666666	2	0.5	1	1.0	0.5	2	1	1	0	0	0.25	4	1	4	0.0	0.6666666666666666	0.25730140746730956	0.8282128640261806	0.5905654588637919	0.9573082709533876	0.8203515762603931	0.7522230841978838	0.9574263212942737	0.8733835999568123	0	0	0.0	-5.263775279457304e-09
