robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
18,0,0,0.3,3,0.6923076923076923,9,0.3333333333333333,0.5384615384615384,9,7,5,2,0,0.5555555555555556,5,9,15,0.16666666666666666,0.3076923076923077,0.7476055802353075,0.9113592408247307,0.5899156344606655,0.9134557970676395,0.6214752393762615,0.9081776982937014,0.8004665257456745,0.911021357369871,0.5555555555555556,0.1111111111111111,0.0
19,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1.0,2,0.0,0,0.75,0,2,0,0,1,0,1.0,2,2,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0.6,3,0.2,1,0.5833333333333334,0.2,2,1,4,2,0,0.75,3,4,7,0.18181818181818182,0,0.7034081455212899,0.8925299685758237,0.2716215346980446,0.6070516479367996,0.4408588827200045,0.5,0.858983360398877,0.7006918551035366,0.75,0.5,0.12308203670601238
22,0,0,0.25,3,0.75,12,0.4,0.375,8,6,9,4,0,0.5555555555555556,9,5,18,0.2,0,0.17798611743352002,0.9243437042398485,0.2005196687280506,0.8737349840308337,0.4527897348741504,0.8873991450537803,0.8458396778687395,0.8972689275052032,0.1875,0.25,0.0
23,0,0,1.0,2,0.0,0,0.75,0,2,0,0,1,0,1.0,2,2,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0.14285714285714285,1,1.0,8,1.0,1.0,9,8,0,0,0,0.1,1,10,10,0.0,0,0.5087500447995091,0.9686429275086166,0.4961960906226112,0.7717638583539863,0.35837601725265944,0.8968994533645296,0.9033922532732083,0.9064181573388982,0,0,0.0
25,0,0,1.0,2,0.0,0,0.75,0,2,0,0,2,0,1.0,2,2,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.16666666666666666,1,0.4,6,0.6,12,0.36666666666666664,0.45,11,9,10,3,0,0.4166666666666667,12,5,22,0.13636363636363635,0,0.5089203902156427,0.8490716912567385,0.6031496297713446,0.9586929935498639,0.4916073601813039,0.9123250895427958,0.865558655848278,0.9171884956716155,0.2727272727272727,0.09090909090909091,0.0
27,0,0,0.75,3,0.5,2,0.6,0.5,5,2,0,1,0,0.4,2,5,6,1.0,0.5,0.19026860194129086,0.7835260019308392,0.43010636218276127,0.943649471372066,0.8032518971934399,0.9617019850987845,0.9321725435733703,0.9200187023955412,1.0,0.2,0.0
28,0,0,0.14285714285714285,1,1.0,8,1.0,1.0,9,8,0,1,0,0.1,1,10,10,0.3333333333333333,0,0.6771807815059131,0.5522974386197227,0.7195690669727635,0.8528916627348881,0.23549938768655884,0.9635409069681572,0.8809187424460367,0.851609609687756,1.0,0.3333333333333333,0.0
