robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
1,0,0,1.0,2,0.0,0,0.75,0,2,0,0,0,0,1.0,2,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.25,2,0.8888888888888888,8,0.4074074074074074,0.7777777777777778,7,7,3,1,0,0.3333333333333333,3,9,11,0.1,0.2,0.6858340255996722,0.9331364578659092,0.4271651385538428,0.8973089825853434,0.44478224548927026,0.8347186971021489,0.8494673267983146,0.8948253600968332,1.0,0,0.0
3,0,0,0,0,0,0,1.0,0,0,0,0,2,0,1.0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0.6666666666666666,2,0.0,0,0.6666666666666666,0,0,0,3,3,0,0.6666666666666666,3,2,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.5,3,0.5714285714285714,4,0.45,0.2857142857142857,5,2,3,0,0,0.8,4,5,9,0.0,0,0.46214929699857155,0.7037529352809374,0.6584397060881745,0.8679105527782864,0.3014249056556835,0.8106270256061907,0.8418294080822043,0.8022860869148468,0,0,0.0
6,0,0,0.16666666666666666,1,1.0,6,1.0,0.6666666666666666,4,4,3,4,0,0.125,8,1,8,0.4,0,0.49047724677223564,0.9608569603557471,0.5734829193003568,0.7553839064559059,0.4608804408208543,0.608351529700062,0.8527392268657117,0.8305470225323341,0.25,0.25,0.0
7,0,0,0.14285714285714285,1,1.0,8,0.35714285714285715,0.75,7,6,2,1,0,0.5714285714285714,7,4,10,0.14285714285714285,0,0.6143496515900045,0.9069175350706704,0.2474110930800837,0.7359276521501221,0.5914897955726455,0.8416423101086586,0.9129797664758742,0.8398785080931331,1.0,0,0.0
8,0,0,0.3333333333333333,1,1.0,2,1.0,1.0,3,2,0,0,0,0.25,1,4,4,0.0,0,0.9925683456949683,0.7894009530306761,0.33291100121244177,0.8414970315708332,0.3327115048504858,0.8804741270397428,0.9573084592874856,0.8405802431559989,0,0,0.0
9,0,0,0.2,2,0.8333333333333334,10,0.5384615384615384,0.6666666666666666,10,8,3,0,0,0.15384615384615385,2,13,14,0.0,0.16666666666666666,0.5543973650798663,0.7706478525427507,0.516693730781536,0.8660624023587283,0.6060239359345603,0.7940233111606813,0.7897421873268274,0.8139628853666652,0,0,0.0
10,0,0,0.3333333333333333,2,0.6666666666666666,4,0.4444444444444444,0.5,4,3,3,1,0,0.5,3,6,8,0.1111111111111111,0.4,0.518162641315124,0.8107763997325094,0.21370885514510482,0.7156524717869681,0.6601382118676989,0.9293343714619791,0.9043522350511892,0.8390968143681313,1.0,0.25,0.0
11,0,0,0.5,1,1.0,1,1.0,1.0,1,1,1,1,0,0.3333333333333333,1,3,3,0.16666666666666666,0,0.19792533484295108,0.5,0.6250586150789317,0.5,0.4950701426685285,0.5,0.8566475246226042,0.5,1.0,0,0.0
12,0,0,1.0,1,0,0,1.0,0,0,0,1,1,0,0.5,2,1,2,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0.3333333333333333,2,0.7142857142857143,5,0.45,0.14285714285714285,2,1,6,3,0,0.8,5,4,9,0.2,0,0.439850248447237,0.9676577014525223,0.38459156604311495,0.9451071736758597,0.24553934486721385,0.7368301377451691,0.8782104652831024,0.9186884225647313,0.5,1.0,0.0
14,0,0,0.1,1,1.0,13,0.42857142857142855,0.46153846153846156,6,6,8,0,0,0.7142857142857143,5,7,15,0.0,0,0.6776331741737278,0.7600015000161858,0.11312394535438597,0.9403660663728167,0.5005003436586053,0.6483086922338591,0.9135168063400888,0.8186827585371071,0,0,0.0
15,0,0,0.2857142857142857,2,0.75,6,0.6666666666666666,0.5,5,4,4,2,0,0.6,5,3,10,0.18181818181818182,0.5,0.7241452771345962,0.9225621627750414,0.693704545097525,0.8826184929257419,0.79184665719308,0.798255714231827,0.7254079939702027,0.8761924023431396,0.6,0.2,0.0
16,0,0,0.1111111111111111,1,1.0,11,1.0,0.6363636363636364,8,7,4,0,0,0.07692307692307693,13,1,13,0.0,0,0.25254145373114134,0.9235885769060433,0.5790418470805545,0.8802967357610806,0.6695856192274526,0.939215224599759,0.9022623641723159,0.9174626531325243,0,0,0.0
17,0,0,0.6,3,0.4,2,0.5833333333333334,0.4,4,2,2,2,0,0.75,3,4,7,0.3333333333333333,0,0.397735519183151,0.9492875007185627,0.6291330619180278,0.9209116095600015,0.21860884922040064,0.6475876817581487,0.8768336649533448,0.8805444985993244,0.75,0.25,0.0
18,0,0,1.0,1,0,0,1.0,0,1,0,0,1,0,0.5,2,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0.16666666666666666,2,0.8666666666666667,13,0.2125,0.4666666666666667,8,7,8,12,0,0.8,8,10,17,0.631578947368421,0,0.5835157160024214,0.9216887204767279,0.22221216683213632,0.7362703097611616,0.5729018407072288,0.9266897778513317,0.9047109423081273,0.881812015165522,0.125,0.375,0.0
20,0.5,1,0.42857142857142855,3,0.625,5,0.8333333333333334,0.25,5,2,4,4,0,0.75,4,3,10,0.4444444444444444,0.2857142857142857,0.5859377510264578,0.9088931273521574,0.5828223674296932,0.9579710094504506,0.8083548844295441,0.8376518388264272,0.9637558504404753,0.9133970805622799,0.4,0.4,0.0
21,0,0,0.05,1,1.0,27,0.3020833333333333,0.5925925925925926,17,16,11,0,0,0.6666666666666666,12,8,29,0.0,0,0.6958722776411259,0.8510325346041684,0.7069153070432735,0.8549075180927895,0.4269811587137607,0.8738098768953896,0.8492372124645505,0.8602224962309226,0,0,0.0
22,0,0,0.1111111111111111,1,1.0,11,0.3611111111111111,0.7272727272727273,9,8,3,1,0,0.4444444444444444,9,4,13,0.1111111111111111,0.25,0.2629654522401168,0.7838850074347773,0.49355732108006506,0.8252420617654073,0.5732134229193553,0.881330607375931,0.8392251740587784,0.834142142693629,1.0,0,0.0
23,0,0,0.14285714285714285,1,1.0,8,1.0,1.0,9,8,0,3,0,0.1,10,1,10,1.0,0,0.3796583973614557,0.9515447048792497,0.42882817371792675,0.9544245811715083,0.7971236016042673,0.8043099492153872,0.9335746256972786,0.9225526390821217,0.1111111111111111,0,0.0
