generation	robot_id
72	3578
72	3583
72	3680
72	3050
72	3590
72	3468
72	3510
72	3665
72	3562
72	3667
72	3007
72	3691
72	3657
72	3109
72	3594
72	3692
72	3467
72	3609
72	3600
72	2436
72	3298
72	3315
72	2912
72	3617
72	3506
72	3693
72	3645
72	3584
72	3541
72	3679
72	3689
72	3478
72	3641
72	3597
72	3684
72	3313
72	3364
72	3642
72	3570
72	3446
72	3653
72	3552
72	3507
72	3595
72	3700
72	3618
72	3477
72	3648
72	3601
72	3545
72	3443
72	3344
72	3646
72	3593
72	3540
72	3674
72	3655
72	3640
72	2828
72	3588
72	3187
72	3304
72	3690
72	3599
72	3528
72	3677
72	3414
72	3501
72	3491
72	3401
72	3688
72	3185
72	3656
72	3465
72	3647
72	3511
72	3239
72	3659
72	3616
72	3671
72	3683
72	3696
72	3537
72	3643
72	3698
72	3136
72	3625
72	3694
72	3497
72	3539
72	3686
72	3591
72	3403
72	2948
72	3672
72	3606
72	3615
72	3664
72	3547
72	3373
50	2598
50	2494
50	2493
50	2407
50	2584
50	2397
50	2568
50	2369
50	2555
50	2516
50	2325
50	2347
50	2387
50	2530
50	1972
50	2577
50	2597
50	2571
50	1778
50	2403
50	2417
50	2497
50	2520
50	1140
50	2532
50	2581
50	2320
50	2436
50	2063
50	1664
50	2439
50	2018
50	2596
50	2438
50	2432
50	2458
50	2414
50	2527
50	2455
50	2311
50	2424
50	2570
50	2419
50	2535
50	2420
50	2366
50	1885
50	2467
50	2517
50	2595
50	2589
50	2518
50	2274
50	2386
50	2514
50	2582
50	2578
50	2507
50	2357
50	2470
50	2243
50	2466
50	2304
50	2580
50	2569
50	2561
50	2503
50	2461
50	2316
50	2004
50	2522
50	2372
50	2553
50	2292
50	2041
50	2526
50	2435
50	2480
50	2446
50	2289
50	2541
50	2528
50	2574
50	2343
50	2489
50	2565
50	2537
50	2230
50	2492
50	2395
50	2567
50	2035
50	2551
50	2249
50	2079
50	2591
50	1563
50	2545
50	2590
50	2123
74	3578
74	3583
74	3781
74	3762
74	3590
74	3715
74	3733
74	3742
74	3718
74	3510
74	3664
74	3764
74	3741
74	3752
74	3757
74	3109
74	3721
74	3656
74	3659
74	3467
74	3799
74	3716
74	3609
74	3600
74	3315
74	3702
74	3779
74	3617
74	3746
74	3696
74	3686
74	3653
74	3736
74	3584
74	3478
74	3766
74	3597
74	3313
74	3364
74	3570
74	3671
74	3698
74	3646
74	3683
74	3655
74	3713
74	3601
74	3545
74	3690
74	3792
74	3443
74	3777
74	3665
74	3344
74	3540
74	3796
74	3684
74	2828
74	3187
74	3599
74	3528
74	3501
74	3491
74	3787
74	3465
74	3640
74	3774
74	3643
74	3769
74	3711
74	3758
74	3770
74	3772
74	3616
74	3712
74	3747
74	3788
74	3761
74	3136
74	3625
74	3694
74	3744
74	3539
74	3784
74	3773
74	3759
74	3776
74	3403
74	3800
74	3778
74	3689
74	3755
74	3667
74	3732
74	3615
74	3775
74	3547
74	3768
74	3789
74	3373
60	3043
60	2493
60	3006
60	3070
60	3097
60	3067
60	2966
60	3050
60	3039
60	2977
60	2968
60	2369
60	2982
60	3055
60	2516
60	2325
60	2979
60	3069
60	3080
60	3042
60	2981
60	3007
60	2969
60	3031
60	2812
60	3074
60	3086
60	1140
60	2436
60	3057
60	2903
60	3060
60	2912
60	2853
60	2871
60	3026
60	2958
60	3020
60	3092
60	3081
60	2931
60	3009
60	2843
60	2877
60	2920
60	3100
60	3088
60	2989
60	3048
60	3091
60	2634
60	2734
60	2978
60	2777
60	3047
60	3036
60	3077
60	3024
60	3079
60	3052
60	2648
60	2942
60	2828
60	2954
60	2577
60	2915
60	3095
